Journal title,Review process,APC,APC amount,Does the journal comply to DOAJ's definition of open access?,issn_linking
Journal of Multidisciplinary Care,Double anonymous peer review,No,NA,Yes,27833852
Numerical Methods in Civil Engineering,Double anonymous peer review,No,NA,Yes,27833941
نامه انجمن حشره‌شناسی ایران,Peer review,No,NA,Yes,27833968
آموزه‌‌های فلسفه اسلامي,Double anonymous peer review,Yes,4000000 IRR,Yes,27834026
آموزه‌های قرآنی,Double anonymous peer review,Yes,8000000 IRR,Yes,27834085
تاریخ اسلام,Double anonymous peer review,Yes,7000000 IRR,Yes,2783414X
نقد تحلیل و زیبایی شناسی متون,Peer review,Yes,8 USD,Yes,27834166
Sports Business Journal,Double anonymous peer review,No,NA,Yes,27834174
مکانیک مواد پیشرفته و هوشمند,Double anonymous peer review,No,NA,Yes,27834220
مطالعات مدیریت و توسعه پایدار,Double anonymous peer review,Yes,5000000 IRR,Yes,27834395
International Journal of Information and Communication Technology Research,Double anonymous peer review,No,NA,Yes,27834425
Journal of Modern Psychology,Double anonymous peer review,No,NA,Yes,27834433
سیاست علم و فناوری,"Editorial review, Peer review, Double anonymous peer review",No,NA,Yes,27834476
Novelty in Clinical Medicine,Double anonymous peer review,No,NA,Yes,27834492
آرمان پردازش,Double anonymous peer review,Yes,4500000 IRR,Yes,27834549
علوم، فناوری و کاربردهای فضایی,Double anonymous peer review,No,NA,Yes,27834557
International Journal of Knowledge Processing Studies,Double anonymous peer review,Yes,15000000 IRR,Yes,27834611
تحقیقات کتابداری و اطلاع‌رسانی دانشگاهی,"Peer review, Double anonymous peer review",Yes,4000000 IRR,Yes,27834638
Future Natural Products,Double anonymous peer review,No,NA,Yes,27834662
Environmental Resources Research,Double anonymous peer review,No,NA,Yes,27834670
فیزیولوژی محیطی گیاهی,Double anonymous peer review,Yes,5000000 IRR,Yes,27834689
Journal of Holography Applications in Physics,Peer review,No,NA,Yes,27834778
Progress in Physics of Applied Materials,Peer review,No,NA,Yes,27834794
Environmental Resources Research,Double anonymous peer review,No,NA,Yes,27834832
مطالعات کارآفرینی و توسعه پایدار کشاورزی,Double anonymous peer review,Yes,2000000 IRR,Yes,27834883
پژوهشهای نسخه شناسی و تصحیح متون,Double anonymous peer review,Yes,150 USD; 80000000 IRR,Yes,27834913
Big Data and Computing Visions,Double anonymous peer review,No,NA,Yes,27834956
فناوری‌های پیشرفته در بهره‌وری آب,Double anonymous peer review,No,NA,Yes,27834964
بیوتکنولوژی و بیوشیمی غلات,Double anonymous peer review,No,NA,Yes,27835170
مطالعات روانشناسی تربیتی,Double anonymous peer review,Yes,4000000 IRR,Yes,27835235
جغرافیا و آمایش شهری منطقه‌ای,Peer review,Yes,4000000 IRR,Yes,27835278
پژوهش‌های حبوبات ایران,Double anonymous peer review,No,NA,Yes,27835367
نگرش‌های نوین مدیریت بازرگانی,Peer review,No,NA,Yes,27835405
Sports Business Journal,Double anonymous peer review,No,NA,Yes,2783543X
تعاون و کشاورزی,"Peer review, Double anonymous peer review",No,NA,Yes,27835464
تعاون و کشاورزی,"Peer review, Double anonymous peer review",No,NA,Yes,27835472
Social Inquiry into Well-Being,Double anonymous peer review,No,NA,Yes,27835502
Information & Media,Double anonymous peer review,No,NA,Yes,27836207
Taikomieji Moksliniai Tyrimai,Double anonymous peer review,No,NA,Yes,27836290
Acta Humanitarica Academiae Saulensis,Double anonymous peer review,Yes,30 EUR,Yes,27836789
Acta Academiae Artium Vilnensis,Anonymous peer review,No,NA,Yes,27836843
Journal of South Asian Logistics and Transport,Double anonymous peer review,No,NA,Yes,27838676
Journal of South Asian Logistics and Transport,Double anonymous peer review,No,NA,Yes,27838897
Romanian Intelligence Studies Review,Double anonymous peer review,No,NA,Yes,27839826
Journal of Applied Life Sciences and Environment,Anonymous peer review,No,NA,Yes,27840360
Journal of Applied Life Sciences and Environment,Anonymous peer review,No,NA,Yes,27840379
Annals of West University of Timisoara: Physics,Anonymous peer review,No,NA,Yes,27841057
Modelling in Civil Environmental Engineering,Double anonymous peer review,No,NA,Yes,27841391
TheoRhēma,Double anonymous peer review,No,NA,Yes,27842665
Revista Biserica Ortodoxă Română,Anonymous peer review,No,NA,Yes,27843971
Stridon,Double anonymous peer review,No,NA,Yes,27845826
"Logistics, Supply Chain, Sustainability and Global Challenges",Double anonymous peer review,No,NA,Yes,27847497
Fenestella,Double anonymous peer review,No,NA,Yes,27848663
Sound Stage Screen,Double anonymous peer review,No,NA,Yes,27848949
La Diana,Double anonymous peer review,No,NA,Yes,27849597
Educazione Aperta,Double anonymous peer review,No,NA,Yes,2785079X
Linguistic Typology at the Crossroads,Double anonymous peer review,No,NA,Yes,27850943
Diritto dello Sport,"Anonymous peer review, Double anonymous peer review",No,NA,Yes,27851141
GIornale Italiano di Psicologia e Medicina del Lavoro,Double anonymous peer review,Yes,49 EUR,Yes,27851338
DIID,Anonymous peer review,No,NA,Yes,27852245
Finzioni,Double anonymous peer review,No,NA,Yes,27852288
Lagoonscapes,Double anonymous peer review,No,NA,Yes,27852709
Bulletin of Geophysics and Oceanography,Peer review,No,NA,Yes,27852970
"Journal of Human, Earth, and Future",Double anonymous peer review,No,NA,Yes,27852997
Balcania et Slavia,Double anonymous peer review,No,NA,Yes,27853187
Dive-In,Double anonymous peer review,No,NA,Yes,27853233
Bulletin of Geophysics and Oceanography,Peer review,No,NA,Yes,2785339X
Rivista di Ricerca e Didattica Digitale,Double anonymous peer review,No,NA,Yes,27853977
Elementa,Double anonymous peer review,No,NA,Yes,27854426
Elementa,Double anonymous peer review,No,NA,Yes,27854558
"Bleeding, Thrombosis and Vascular Biology",Anonymous peer review,No,NA,Yes,27855309
TranScript,Double anonymous peer review,No,NA,Yes,27855708
Bhasha,Double anonymous peer review,No,NA,Yes,27855953
JoMaCC,Double anonymous peer review,No,NA,Yes,27856046
Graphos,Double anonymous peer review,No,NA,Yes,27856690
Infermieristica Journal,"Anonymous peer review, Double anonymous peer review",No,NA,Yes,27857018
Dissertation Nursing,Double anonymous peer review,No,NA,Yes,27857263
AN-ICON,Double anonymous peer review,No,NA,Yes,27857433
Politics,Double anonymous peer review,No,NA,Yes,27857719
And,Double anonymous peer review,Yes,400 EUR,Yes,27857778
"Journal of Law, Market & Innovation","Anonymous peer review, Double anonymous peer review",No,NA,Yes,27857867
DiLEF,Double anonymous peer review,No,NA,Yes,27857980
Malaysian Journal of Science and Advanced Technology,Anonymous peer review,No,NA,Yes,27858901
Journal of Smart Science and Technology,Double anonymous peer review,No,NA,Yes,2785924X
International Journal of Advanced Studies in World Archaeology,Peer review,No,NA,Yes,27859592
International Journal of Multidisciplinary Studies in Heritage Research,Double anonymous peer review,No,NA,Yes,27859614
International Journal of Multidisciplinary Studies in Heritage Research,Double anonymous peer review,No,NA,Yes,27859622
المجلة الدولية للتعليم الإلکتروني,Peer review,Yes,675 USD; 4350 EGP,Yes,27859657
دورية نماء لعلوم الوحى والدراسات الإنسانية,Double anonymous peer review,No,NA,Yes,27859738
دورية نماء لعلوم الوحى والدراسات الإنسانية,Double anonymous peer review,No,NA,Yes,27859746
SVU-International Journal of Engineering Sciences and Applications,"Anonymous peer review, Double anonymous peer review",No,NA,Yes,27859967
The Egyptian Statistical Journal,Double anonymous peer review,No,NA,Yes,27860086
المجلة المصرية لعلوم المعلومات,Double anonymous peer review,Yes,250 USD,Yes,27860132
Helwan International Journal for Nursing Research and Practice,Anonymous peer review,Yes,2500 EGP,Yes,27860183
Mağallaẗ Buḥūṯ Al-Tarbiyyaẗ Al-Šāmlaẗ,Peer review,Yes,650 EGP; 220 USD,Yes,27860221
Journal of Fundamental and Clinical Research,Double anonymous peer review,No,NA,Yes,2786023X
Egyptian Journal of Pure and Applied Science,Double anonymous peer review,Yes,200 USD; 2000 EGP,Yes,27860299
Central European Cultures,Double anonymous peer review,No,NA,Yes,27860671
Central European Cultures,Double anonymous peer review,No,NA,Yes,2786068X
"Public Governance, Administration and Finances Law Review",Double anonymous peer review,No,NA,Yes,27860736
Mathematica Pannonica,Anonymous peer review,No,NA,Yes,27860752
Historical Studies on Central Europe,Double anonymous peer review,No,NA,Yes,27860922
Historical Studies on Central Europe,Double anonymous peer review,No,NA,Yes,27860930
In Medias Res,Double anonymous peer review,No,NA,Yes,2786152X
KözigazgatásTudomány,Double anonymous peer review,No,NA,Yes,27861910
Institutiones Administrationis,Double anonymous peer review,No,NA,Yes,27861929
Távol-keleti Tanulmányok,Double anonymous peer review,No,NA,Yes,27862976
Természetvédelmi Közlemények,Anonymous peer review,No,NA,Yes,27863506
Ephemeris Hungarologica,Double anonymous peer review,No,NA,Yes,27863514
Ephemeris Hungarologica,Double anonymous peer review,No,NA,Yes,27863522
Prosperitas,Anonymous peer review,No,NA,Yes,27864359
Актуальні питання масової комунікації,Double anonymous peer review,Yes,50 USD,Yes,27864502
Health Economics and Management Review,Double anonymous peer review,Yes,200 EUR,Yes,27864626
Health Economics and Management Review,Double anonymous peer review,Yes,200 EUR,Yes,27864634
Політичні дослідження,Double anonymous peer review,No,NA,Yes,27864774
Політичні дослідження,Double anonymous peer review,No,NA,Yes,27864782
Medičnì Perspektivi,Double anonymous peer review,Yes,6000 UAH,Yes,27864804
Українська Інтервенційна Нейрорадіологія та Хірургія,Double anonymous peer review,Yes,2000 UAH,Yes,27864855
Українська Інтервенційна Нейрорадіологія та Хірургія,Double anonymous peer review,Yes,2000 UAH,Yes,27864863
Дороги і мости,Peer review,No,NA,Yes,2786488X
Фінансово-кредитні системи: перспективи розвитку.,Double anonymous peer review,No,NA,Yes,27864995
Фінансово-кредитні системи: перспективи розвитку.,Double anonymous peer review,No,NA,Yes,27865002
Нотатки сучасної біології,Peer review,Yes,30 USD,Yes,2786524X
Нотатки сучасної біології,Peer review,Yes,30 USD,Yes,27865258
Проблеми екстремальної та кризової психології,Double anonymous peer review,Yes,600 UAH,Yes,27865541
Проблеми екстремальної та кризової психології,Double anonymous peer review,Yes,600 UAH,Yes,2786555X
Соціально-економічні відносини в цифровому суспільстві,Double anonymous peer review,Yes,80 USD,Yes,27865800
Соціально-економічні відносини в цифровому суспільстві,Double anonymous peer review,Yes,80 USD,Yes,27865819
Український журнал Здоров'я жінки,Double anonymous peer review,Yes,300 EUR,Yes,27866009
Український журнал Здоров'я жінки,Double anonymous peer review,Yes,300 EUR,Yes,27866017
Anti-Aging Eastern Europe,Double anonymous peer review,No,NA,Yes,27866157
Anti-Aging Eastern Europe,Double anonymous peer review,No,NA,Yes,27866521
Ukrainian Scientific Medical Youth Journal,Double anonymous peer review,No,NA,Yes,27866661
Ukrainian Scientific Medical Youth Journal,Double anonymous peer review,No,NA,Yes,2786667X
Acta Academiae Beregsasiensis. Economics,Peer review,No,NA,Yes,27866734
Acta Academiae Beregsasiensis. Economics,Peer review,No,NA,Yes,27866742
Тваринництво Степу України,Double anonymous peer review,No,NA,Yes,27866750
Тваринництво Степу України,Double anonymous peer review,No,NA,Yes,27866769
Preschool Education: Global Trends,Double anonymous peer review,Yes,50 USD,Yes,2786703X
Preschool Education: Global Trends,Double anonymous peer review,Yes,50 USD,Yes,27867048
Праці Інституту електродинаміки Національної академії наук України,Anonymous peer review,No,NA,Yes,27867064
Architectural Studies,Double anonymous peer review,Yes,250 EUR,Yes,27867374
Acta de Historia & Politica: Saeculum XXI,Double anonymous peer review,Yes,600 UAH,Yes,27868788
West African Journal of Open and Flexible Learning,Double anonymous peer review,Yes,60 USD; 20000 NGN,Yes,27869717
Međunarodna politika,Double anonymous peer review,No,NA,Yes,27870618
Анали Филолошког факултета,Double anonymous peer review,No,NA,Yes,27871037
Politics in Central Europe,Double anonymous peer review,No,NA,Yes,27879038
Cornova,Double anonymous peer review,No,NA,Yes,27879151
Musicologica Olomucensia,Double anonymous peer review,No,NA,Yes,27879186
Musicologica Olomucensia,Double anonymous peer review,No,NA,Yes,27879194
Trendy v podnikání,Double anonymous peer review,No,NA,Yes,27880079
Teologická Reflexe,Double anonymous peer review,No,NA,Yes,27880796
Theology and Philosophy of Education,Double anonymous peer review,No,NA,Yes,27881180
American and British Studies Annual,Double anonymous peer review,No,NA,Yes,27882233
Mediaevalia Historica Bohemica,Double anonymous peer review,No,NA,Yes,27882543
Bohemica Olomucensia,Double anonymous peer review,No,NA,Yes,27882632
غالب,Anonymous peer review,No,NA,Yes,27884155
Journal of Global Innovations in Agricultural Sciences,Peer review,Yes,300 USD; 25000 PKR,Yes,27884538
Journal of Global Innovations in Agricultural Sciences,Peer review,Yes,300 USD; 25000 PKR,Yes,27884546
بازیافت,Double anonymous peer review,No,NA,Yes,27884848
Spimed,Open peer review,No,NA,Yes,27885216
Український селянин,Double anonymous peer review,Yes,950 UAH,Yes,27885364
المجلة العراقية للاستزراع المائي,Peer review,Yes,50000 IQD,Yes,27885720
Wasit Journal of Computer and Mathematics Science,Peer review,Yes,100000 IQD; 100 USD,Yes,27885879
Wasit Journal of Computer and Mathematics Science,Peer review,Yes,100000 IQD; 100 USD,Yes,27885887
Аналітично-порівняльне правознавство,Double anonymous peer review,Yes,600 UAH,Yes,27886018
Ingeniería Hidráulica y Ambiental,Double anonymous peer review,No,NA,Yes,27886050
Teacher Education through Flexible Learning in Africa,Double anonymous peer review,Yes,3000 ZAR,Yes,27886298
غالب,Anonymous peer review,No,NA,Yes,27886441
Revista Cubana de Derecho,Double anonymous peer review,No,NA,Yes,27886670
